"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Los Angeles City College","855 N Vermont Ave, Los Angeles, California 90029","www.lacitycollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","14937","14937","22%","7%","Fall 2016","$8,875","-","117788","00122300"
"Los Angeles County College of Nursing and Allied Health","1237 N. Mission Rd., Los Angeles, California 90033-1084","dhs.lacounty.gov/wps/portal/dhs/conah/","2-year, Public","One but less than two years certificate|Associate's degree","City: Large","No","199","199","NA","NA","Fall 2016","NA","-","117803","00616500"
"Los Angeles Harbor College","1111 Figueroa Place, Wilmington, California 90744-2397","www.lahc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","8694","8694","26%","11%","Fall 2016","$10,996","-","117690","00122400"
"Los Angeles Mission College","13356 Eldridge Avenue, Sylmar, California 91342-3200","www.lamission.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","10128","10128","21%","9%","Fall 2016","$11,727","-","117867","01255000"
"Los Angeles Pierce College","6201 Winnetka Ave, Woodland Hills, California 91371-0002","www.piercecollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","18765","18765","32%","9%","Fall 2016","$11,585","-","117706","00122600"
"Los Angeles Southwest College","1600 W. Imperial Hwy., Los Angeles, California 90047-4899","www.lasc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","6409","6409","15%","16%","Fall 2016","$8,752","-","117715","00704700"
"Los Angeles Trade Technical College","400 W Washington Blvd, Los Angeles, California 90015-4181","www.lattc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","13094","13094","25%","9%","Fall 2016","$8,670","-","117724","00122700"
"Los Angeles Valley College","5800 Fulton Avenue, Valley Glen, California 91401-4096","www.lavc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","16982","16982","26%","10%","Fall 2016","$10,778","-","117733","00122800"
"Los Medanos College","2700 East Leland Road, Pittsburg, California 94565","https://www.losmedanos.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","9435","9435","33%","9%","Fall 2016","$7,443","-","117894","01034000"
"Mendocino College","1000 Hensley Creek Road, Ukiah, California 95482","www.mendocino.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","3960","3960","26%","12%","Fall 2016","$7,930","-","118684","01167200"
"Merced College","3600 M St, Merced, California 95348-2898","www.mccd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","11173","11173","30%","6%","Fall 2016","$12,147","-","118718","00123700"
"Merritt College","12500 Campus Dr, Oakland, California 94619-3196","www.merritt.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","6857","6857","22%","13%","Fall 2016","$13,146","-","118772","00126700"
"MiraCosta College","One Barnard Drive, Oceanside, California 92056-3899","www.miracosta.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","12992","12992","33%","11%","Fall 2013","$2,856","-","118912","00123900"
"MiraCosta College - San Elijo Campus","3333 Manchester Avenue, Cardiff, California 92007-1516","miracosta.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2013","NA","-","11891201","00123901"
"Mission College","3000 Mission College Blvd, Santa Clara, California 95054-1897","www.missioncollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","6995","6995","31%","11%","Fall 2016","$6,249","-","118930","02119100"
"Modesto Junior College","435 College Ave, Modesto, California 95350-5800","www.mjc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","18068","18068","22%","12%","Fall 2013","$12,131","-","118976","00124000"
"Monterey Peninsula College","980 Fremont St, Monterey, California 93940-4799","www.mpc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","7920","7920","31%","14%","Fall 2016","$12,022","-","119067","00124200"
"Moorpark College","7075 Campus Rd, Moorpark, California 93021-1695","www.moorparkcollege.edu/index.shtml","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Midsize","No","14275","14275","40%","12%","Fall 2016","$4,336","-","119137","00711500"
"Moreno Valley College","16130 Lasselle St, Moreno Valley, California 92551","www.mvc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","10635","10635","20%","7%","Fall 2016","$6,858","-","460394","04173500"
"Mt San Antonio College","1100 N Grand Ave, Walnut, California 91789-1399","www.mtsac.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","29799","29799","36%","6%","Fall 2016","$4,387","-","119164","00124500"
"Mt San Jacinto Community College District","1499 N. State St., San Jacinto, California 92583-2399","www.msjc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","15597","15597","26%","15%","Fall 2016","$7,736","-","119216","00124600"
"Mt. Diablo Adult Education-Mt. Diablo USD","Loma Vista Adult Center - 1266 San Carlos Avenue., Concord, California 94518-1199","mdae.mdusd.org/","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","129","129","82%","NA","2016-17","$15,824","Dental Assisting/Assistant","382258","03062400"
"Napa Valley College","2277 Napa-Vallejo Hwy, Napa, California 94558-6236","www.napavalley.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","5292","5292","32%","10%","Fall 2016","$14,726","-","119331","00124700"
"Naval Postgraduate School","1 University Circle, Monterey, California 93943","https://www.nps.edu","4-year, Public","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Midsize","No","2841","","NA","NA","Fall 2013","NA","-","119678","00131000"
"Norco College","2001 Third St, Norco, California 92860","www.norcocollege.edu/Pages/index.aspx","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","11715","11715","27%","9%","Fall 2016","$7,086","-","460464","04176100"
"Ohlone College","43600 Mission Blvd, Fremont, California 94539-0390","www.ohlone.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","8900","8900","47%","11%","Fall 2016","$11,648","-","120290","00448100"
"Orange Coast College","2701 Fairview Road, Costa Mesa, California 92626","www.orangecoastcollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","20042","20042","39%","10%","Fall 2016","$5,936","-","120342","00125000"
"Oxnard College","4000 S Rose Ave, Oxnard, California 93033-6699","www.oxnardcollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","7464","7464","34%","5%","Fall 2016","$2,628","-","120421","01284200"
"Palo Verde College","One College Drive, Blythe, California 92225","https://www.paloverde.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Distant","No","4540","4540","33%","7%","Fall 2016","$11,587","-","120953","00125900"
"Palomar College","1140 W. Mission, San Marcos, California 92069-1487","www2.palomar.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","23874","23874","30%","11%","Fall 2016","$6,988","-","120971","00126000"
"Pasadena City College","1570 E Colorado Blvd., Pasadena, California 91106-2003","pasadena.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","26971","26971","37%","8%","Fall 2016","$5,633","-","121044","00126100"
"Pomona Unified School District Adult and Career Education","1515 W Mission Blvd, Pomona, California 91766-1233","ace.pusd.org","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","138","138","41%","NA","2016-17","$5,979","Cosmetology/Cosmetologist, General","372082","03029600"
"Porterville College","100 E College Ave, Porterville, California 93257","www.portervillecollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Small","No","4350","4350","35%","3%","Fall 2016","$4,624","-","121363","00126800"
"Poway Adult School","13626 Twin Peaks Road, Poway, California 92064","www.powayadultschool.com","< 2-year, Public","Less than one year certificate","City: Small","No","90","90","NA","NA","2016-17","NA","-","492315",""
"Reedley College","995 N Reed Ave, Reedley, California 93654","www.reedleycollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Town: Distant","Yes","11296","11296","28%","7%","Fall 2016","$4,482","-","117052","00130800"
"Rio Hondo College","3600 Workman Mill Rd, Whittier, California 90601-1616","www.riohondo.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","19358","19358","23%","7%","Fall 2013","$7,123","-","121886","00126900"
"Riverside City College","4800 Magnolia Avenue, Riverside, California 92506","www.rcc.edu/riverside","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","21118","21118","28%","12%","Fall 2016","$6,782","-","121901","00127000"
"Riverside County Office of Education-School of Career Education","2100 E. Alessandro Blvd., Riverside, California 92508","www.riversidesce.org","< 2-year, Public","Less than one year certificate|One but less than two years certificate","City: Large","No","291","291","81%","NA","2016-17","$8,113","Medical/Clinical Assistant","481191","04208400"
"Sacramento City College","3835 Freeport Blvd, Sacramento, California 95822-1386","https://www.scc.losrios.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","20829","20829","24%","10%","Fall 2016","$6,972","-","122180","00123300"
"Saddleback College","28000 Marguerite Pky, Mission Viejo, California 92692-3635","www.saddleback.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","19709","19709","42%","13%","Fall 2016","$7,298","-","122205","00891800"
"San Bernardino Valley College","701 South Mount Vernon Avenue, San Bernardino, California 92410-2798","www.valleycollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","14872","14872","17%","8%","Fall 2016","$9,209","-","123527","00127200"
"San Diego City College","1313 Park Boulevard, San Diego, California 92101-4787","www.sdcity.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","14056","14056","21%","11%","Fall 2016","$7,430","-","122339","00127300"
"San Diego Mesa College","7250 Mesa College Dr, San Diego, California 92111-4998","www.sdmesa.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Large","No","20712","20712","28%","13%","Fall 2013","$7,483","-","122375","00127500"
"San Diego Miramar College","10440 Black Mountain Rd, San Diego, California 92126-2999","www.sdmiramar.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","14127","14127","40%","10%","Fall 2016","$6,887","-","122384","01182000"
"San Diego State University","5500 Campanile Dr, San Diego, California 92182-0001","www.sdsu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","35544","30848","73%","3%","Fall 2013","$14,499","-","122409","00115100"
"San Diego State University-Imperial Valley Campus","720 Heber Ave, Calexico, California 92231","www.ivcampus.sdsu.edu","4-year, Public","Bachelor's degree|Master's degree","Suburb: Midsize","No","","","NA","NA","Fall 2013","NA","-","12240901","00115101"
"San Francisco State University","1600 Holloway Ave, San Francisco, California 94132","www.sfsu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","29032","25924","57%","6%","Fall 2013","$15,166","-","122597","00115400"
"San Joaquin Delta College","5151 Pacific Ave, Stockton, California 95207","www.deltacollege.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","18533","18533","30%","9%","Fall 2016","$12,692","-","122658","00128000"
"San Joaquin General Hospital School of Radiation Technology","500 W. Hospital Rd, French Camp, California 95231","www.deltacollege.edu","2-year, Public","Two but less than 4 years certificate","Suburb: Large","No","","","NA","NA","Fall 2016","NA","-","12265801","00128001"
"San Jose City College","2100 Moorpark Ave, San Jose, California 95128-2798","www.sjcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","8760","8760","28%","8%","Fall 2016","$13,818","-","122746","00128200"
"San Jose State University","One Washington Square, San Jose, California 95192-0001","www.sjsu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","36085","27905","64%","4%","Fall 2013","$14,471","-","122755","00115500"
"Santa Ana College","1530 W. 17th Street, Santa Ana, California 92706-3398","www.sac.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","27052","27052","28%","8%","Fall 2013","$6,757","-","121619","00128400"
"Santa Barbara City College","721 Cliff Drive, Santa Barbara, California 93109-2394","www.sbcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","14133","14133","41%","14%","Fall 2016","$9,416","-","122889","00128500"
"Santa Monica College","1900 Pico Blvd, Santa Monica, California 90405-1628","www.smc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","27497","27497","29%","18%","Fall 2013","$6,006","-","122977","00128600"
"Santa Rosa Junior College","1501 Mendocino Avenue, Santa Rosa, California 95401-4395","www.santarosa.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","19101","19101","37%","9%","Fall 2016","$8,993","-","123013","00128700"
"Santiago Canyon College","8045 E Chapman, Orange, California 92869-4512","www.sccollege.edu/Pages/default.aspx","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","11911","11911","38%","13%","Fall 2016","$5,600","-","399212","03695700"
"Shasta College","11555 Old Oregon Trail, Redding, California 96003","https://www.shastacollege.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Midsize","Yes","9307","9307","25%","12%","Fall 2013","$6,518","-","123299","00128900"
"Sierra College","5100 Sierra College Blvd, Rocklin, California 95677-3397","https://www.sierracollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","Yes","18226","18226","40%","12%","Fall 2016","$6,257","-","123341","00129000"
"Skyline College","3300 College Dr, San Bruno, California 94066-1698","skylinecollege.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","8803","8803","36%","8%","Fall 2013","$4,732","-","123509","00771300"
"Solano Community College","4000 Suisun Valley Rd, Fairfield, California 94534-3197","www.solano.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Midsize","No","9330","9330","26%","10%","Fall 2013","$7,257","-","123563","00129200"
"Sonoma State University","1801 E Cotati Ave, Rohnert Park, California 94928-3609","www.sonoma.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate","Suburb: Large","Yes","8887","8143","62%","7%","Fall 2013","$17,086","-","123572","00115600"
"Southwestern College","900 Otay Lakes Rd., Chula Vista, California 91910-7299","https://www.swccd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","19231","19231","27%","9%","Fall 2016","$6,329","-","123800","00129400"
"Taft College","29 Cougar Court, Taft, California 93268","www.taftcollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Distant","Yes","5968","5968","36%","7%","Fall 2016","$8,089","-","124113","00130900"
"Teachers College of San Joaquin","2721 Transworld Dr., Stockton, California 95206","www.teacherscollegesj.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Master's degree","City: Large","No","848","588","NA","NA","Fall 2013","NA","-","488800","04224800"
"Tri-Community Adult Education","231 Stephanie Drive, Covina, California 91722-3925","www.tri-communityadulted.org","2-year, Public","One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","262","262","NA","NA","Fall 2016","NA","Welding Technology/Welder","484233","03650300"
"Ukiah Adult School","1056 North Bush Street, Ukiah, California 95482-3865","https://adultschool.uusd.net","< 2-year, Public","One but less than two years certificate","Town: Remote","No","","","94%","NA","2016-17","NA","Practical Nursing, Vocational Nursing and Nursing Assistants, Other","481182","04208100"
"University of California-Berkeley","200 California Hall, Berkeley, California 94720","www.berkeley.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","43185","31348","93%","NA","Fall 2013","$18,522","-","110635","00131200"
"University of California-Davis","One Shields Avenue, Davis, California 95616-8678","ucdavis.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Small","Yes","38634","30982","87%","NA","Fall 2013","$15,886","-","110644","00131300"
"University of California-Hastings College of Law","200 McAllister Street, San Francisco, California 94102-4978","www.uchastings.edu","4-year, Public","Master's degree|Doctor's degree - professional practice","City: Large","Yes","979","","NA","NA","Fall 2013","NA","-","110398","00394700"
"University of California-Irvine","501 Aldrich Hall, Irvine, California 92697","www.uci.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","36908","30382","84%","9%","Fall 2013","$15,268","-","110653","00131400"
"University of California-Los Angeles","405 Hilgard Ave, Los Angeles, California 90095-1405","www.ucla.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","44371","31543","92%","4%","Fall 2013","$15,718","-","110662","00131500"
"University of California-Merced","5200 North Lake Road, Merced, California 95343-5603","ucmerced.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Rural: Fringe","Yes","8847","8151","69%","23%","Fall 2013","$14,013","-","445188","04127100"
"University of California-Riverside","900 University Ave, Riverside, California 92521","www.ucr.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","25547","22055","76%","15%","Fall 2013","$13,045","-","110671","00131600"
"University of California-San Diego","9500 Gilman Dr, La Jolla, California 92093","www.ucsd.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","38736","30794","87%","NA","Fall 2013","$14,864","-","110680","00131700"
"University of California-San Francisco","500 Parnassus Ave, San Francisco, California 94143-0244","ucsf.edu","4-year, Public","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","3180","","NA","NA","Fall 2013","NA","-","110699","00131900"
"University of California-Santa Barbara","5221 Cheadle Hall, Santa Barbara, California 93106","www.ucsb.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Midsize","Yes","26314","23349","83%","NA","Fall 2013","$16,767","-","110705","00132000"
"University of California-Santa Cruz","1156 High St, Santa Cruz, California 95064-1011","www.ucsc.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","19494","17517","75%","5%","Fall 2013","$17,889","-","110714","00132100"
"Ventura Adult and Continuing Education","5200 Valentine Rd, Ventura, California 93003-0000","www.adultedventura.edu","< 2-year, Public","Less than one year certificate|One but less than two years certificate","City: Midsize","No","97","97","94%","NA","2016-17","$12,735","Accounting","417123","03084700"
"Ventura College","4667 Telegraph Rd, Ventura, California 93003-3872","www.venturacollege.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","12696","12696","38%","6%","Fall 2016","$3,936","-","125028","00133400"
"Victor Valley College","18422 Bear Valley Rd, Victorville, California 92395-5850","www.vvc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","13126","13126","21%","11%","Fall 2016","$9,863","-","125091","00133500"
"Vista Adult School","510 Sunset Drive, Vista, California 92081","vistaadultschool.org","< 2-year, Public","Less than one year certificate","Suburb: Large","No","252","252","NA","NA","2016-17","NA","-","492324",""
"West Hills College-Coalinga","300 Cherry Lane, Coalinga, California 93210","https://www.westhillscollege.com/coalinga/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Distant","Yes","4198","4198","30%","13%","Fall 2016","$9,260","-","125462","00117600"
"West Hills College-Lemoore","555 College Avenue, Lemoore, California 93245","https://www.westhillscollege.com/lemoore/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","4359","4359","38%","3%","Fall 2016","$10,030","-","448594","04111300"
"West Los Angeles College","9000 Overland Avenue, Culver City, California 90230-3519","www.wlac.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","No","13048","13048","17%","13%","Fall 2013","$9,408","-","125471","00859600"
"West Valley College","14000 Fruitvale Ave, Saratoga, California 95070-5698","www.westvalley.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","7619","7619","35%","13%","Fall 2016","$7,541","-","125499","00133800"
"Woodland Community College","2300 E Gibson Rd, Woodland, California 95776","https://wcc.yccd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Small","No","3774","3774","24%","9%","Fall 2016","$6,452","-","455512","04143800"
"Yuba College","2088 N Beale Rd, Marysville, California 95901","https://yc.yccd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","5626","5626","27%","10%","Fall 2016","$5,825","-","126119","00134400"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2018-2019 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institutions largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
